iter	MultiClass
0	4.344518993
1	4.294281227
2	4.238966952
3	4.193889279
4	4.12429539
5	4.054370586
6	4.006914199
7	3.955357869
8	3.906998923
9	3.85415581
10	3.802122118
11	3.73703526
12	3.68350208
13	3.639080107
14	3.582354607
15	3.542670988
16	3.500945085
17	3.444815894
18	3.395391907
19	3.349590499
20	3.308496088
21	3.261990702
22	3.231068223
23	3.199407707
24	3.157796849
25	3.119388608
26	3.077305009
27	3.035769161
28	2.993950275
29	2.959624428
30	2.933376493
31	2.89999827
32	2.860261992
33	2.82673131
34	2.772872624
35	2.743892931
36	2.718120723
37	2.685676834
38	2.655713763
39	2.629572021
40	2.599977234
41	2.573861857
42	2.542212719
43	2.518942415
44	2.495418299
45	2.467775193
46	2.441083959
47	2.417403138
48	2.388558086
49	2.361476886
50	2.330543114
51	2.302096174
52	2.275463803
53	2.243057131
54	2.217321562
55	2.189896385
56	2.163501832
57	2.139315322
58	2.121462735
59	2.104190333
60	2.086997473
61	2.065645714
62	2.046357542
63	2.024009931
64	2.002367855
65	1.980986296
66	1.964289987
67	1.943200355
68	1.923019227
69	1.905716862
70	1.891295474
71	1.875552751
72	1.864295718
73	1.84691939
74	1.83297379
75	1.817885898
76	1.801857714
77	1.786564523
78	1.771970152
79	1.758214844
80	1.741687969
81	1.725393227
82	1.708636711
83	1.693643828
84	1.680934204
85	1.662308424
86	1.650518895
87	1.639525177
88	1.62568873
89	1.610630742
90	1.598423433
91	1.584538711
92	1.571700905
93	1.555371631
94	1.544594533
95	1.533570276
96	1.520275507
97	1.509707676
98	1.497169074
99	1.483939999
100	1.468244591
101	1.455444482
102	1.442474172
103	1.434902755
104	1.422372241
105	1.411320893
106	1.401417733
107	1.391184197
108	1.380851477
109	1.368263631
110	1.355921763
111	1.344866362
112	1.331926659
113	1.324346303
114	1.312355445
115	1.302218524
116	1.289613325
117	1.278211113
118	1.267139958
119	1.257057354
120	1.24958036
121	1.240620291
122	1.230487181
123	1.219430447
124	1.212473717
125	1.204508455
126	1.194089562
127	1.186815175
128	1.179137339
129	1.169518637
130	1.160281937
131	1.152141262
132	1.143094881
133	1.134585854
134	1.127199637
135	1.118341011
136	1.109508993
137	1.101880251
138	1.094540333
139	1.087850269
140	1.078206486
141	1.071152443
142	1.064083021
143	1.056819714
144	1.048926881
145	1.04112078
146	1.033407714
147	1.023873154
148	1.015821411
149	1.009737291
150	1.00186093
151	0.9948238475
152	0.9858235994
153	0.9776805932
154	0.9720735052
155	0.9661211088
156	0.9588599368
157	0.9507702736
158	0.9462455765
159	0.939827994
160	0.9366744881
161	0.9294633751
162	0.9238176729
163	0.9197234557
164	0.9135937153
165	0.9085149856
166	0.9031875658
167	0.8972969532
168	0.8887079706
169	0.8860737542
170	0.8819698339
171	0.8779008811
172	0.8716613821
173	0.8689740068
174	0.8640263683
175	0.859883263
176	0.856179151
177	0.8512703947
178	0.8494770061
179	0.8467065613
180	0.8415870598
181	0.8367225962
182	0.8300080336
183	0.8260953427
184	0.8204372734
185	0.815883536
186	0.8130117024
187	0.806616943
188	0.8003628666
189	0.7978227762
190	0.7911634522
191	0.7874483931
192	0.7826154303
193	0.7781960866
194	0.7720573642
195	0.7687531907
196	0.7649022661
197	0.7599133937
198	0.7545271239
199	0.7510307296
200	0.7482064802
201	0.7458648702
202	0.7420558152
203	0.7399150356
204	0.7358122097
205	0.7322496301
206	0.7293955631
207	0.7250887411
208	0.7197949455
209	0.7169342285
210	0.7129826782
211	0.7084082902
212	0.704304475
213	0.6994786419
214	0.6970083734
215	0.692218909
216	0.6898949282
217	0.687077867
218	0.685603039
219	0.6820629023
220	0.6793667206
221	0.674721672
222	0.6703409276
223	0.6681890272
224	0.6670372648
225	0.6627709667
226	0.6588634356
227	0.6566626483
228	0.6547161182
229	0.650908154
230	0.6485901392
231	0.6463991829
232	0.6441009785
233	0.642552721
234	0.6391770019
235	0.6355700817
236	0.6318193027
237	0.6290286067
238	0.6244443141
239	0.6195979721
240	0.6176336434
241	0.6150069282
242	0.6138310564
243	0.6113465383
244	0.6081617144
245	0.6059485455
246	0.6036265806
247	0.6004594273
248	0.5979419214
249	0.5957142178
250	0.594606539
251	0.5931273217
252	0.5899176497
253	0.5879045675
254	0.5844265709
255	0.5817992578
256	0.5803506181
257	0.5771722241
258	0.5751856251
259	0.5723600687
260	0.5693023471
261	0.5657775834
262	0.5630417842
263	0.5598043141
264	0.5567689042
265	0.5550747068
266	0.5524226155
267	0.551766964
268	0.5484738039
269	0.5464939317
270	0.5433398543
271	0.5402899416
272	0.5390286811
273	0.5370470007
274	0.5336828463
275	0.5309372445
276	0.5289488361
277	0.5279905098
278	0.525188697
279	0.5232181962
280	0.5208757088
281	0.5190755726
282	0.5160125316
283	0.514362913
284	0.5125323229
285	0.5107338985
286	0.5081109381
287	0.5068159118
288	0.5051793579
289	0.5024457556
290	0.5011761043
291	0.500122667
292	0.4974838378
293	0.4952975803
294	0.4930029674
295	0.4924387096
296	0.4902870654
297	0.4890216536
298	0.488451083
299	0.4862290228
